name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
SingleElectron_Run2017B,/SingleElectron/Run2017B-31Mar2018-v1/MINIAOD,60537490,1,1,1,"/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017B/180617_220344/0000,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017B/180617_220344/0001",94X_dataRun2_v11,TRUE,notSpecified,NONE,2017B
SingleElectron_Run2017C,/SingleElectron/Run2017C-31Mar2018-v1/MINIAOD,136637888,1,1,1,"/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017C/180617_220445/0000,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017C/180617_220445/0001,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017C/180617_220445/0002",94X_dataRun2_v11,TRUE,notSpecified,NONE,2017C
SingleElectron_Run2017D,/SingleElectron/Run2017D-31Mar2018-v1/MINIAOD,51526710,1,1,1,"/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017D/180617_220549/0000,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017D/180617_220549/0001",94X_dataRun2_v11,TRUE,notSpecified,NONE,2017D
SingleElectron_Run2017E,/SingleElectron/Run2017E-31Mar2018-v1/MINIAOD,102121689,1,1,1,"/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017E/180617_220648/0000,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017E/180617_220648/0001,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017E/180617_220648/0002",94X_dataRun2_v11,TRUE,notSpecified,NONE,2017E
SingleElectron_Run2017F,/SingleElectron/Run2017F-31Mar2018-v1/MINIAOD,128467223,1,1,1,"/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017F/180617_220750/0000,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017F/180617_220750/0001,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleElectron/KIT_tthbb_sl_skims_DATA_94X_Run2017F/180617_220750/0002",94X_dataRun2_v11,TRUE,notSpecified,NONE,2017F
,,,,,,,,,,,
SingleMuon_Run2017B,/SingleMuon/Run2017B-31Mar2018-v1/MINIAOD,136300266,1,1,1,"/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017B/180617_220851/0000,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017B/180617_220851/0001,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017B/180617_220851/0002",94X_dataRun2_v11,TRUE,notSpecified,NONE,2017B
SingleMuon_Run2017C,/SingleMuon/Run2017C-31Mar2018-v1/MINIAOD,165652756,1,1,1,"/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017C/180622_124916/0000,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017C/180622_124916/0001,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017C/180622_124916/0002,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017C/180622_124916/0003",94X_dataRun2_v11,TRUE,notSpecified,NONE,2017C
SingleMuon_Run2017D,/SingleMuon/Run2017D-31Mar2018-v1/MINIAOD,70361660,1,1,1,"/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017D/180617_221055/0000,/pnfs/desy.de/cms/tier2/store/user/pkeicher/SingleMuon/KIT_tthbb_sl_skims_DATA_94X_Run2017D/180617_221055/0001",94X_dataRun2_v11,TRUE,notSpecified,NONE,2017D
